A,B,C,D,E,F
35,111.3,32,575.56,42.7683,21.7915
7,27.3,0,-0.93,64.4045,18.4677
25,81.43,23,413.44,-17.0965,-35.053
17,57.45,36,647.31,13.7773,15.8489
30,96.18,14,251.5,53.9193,83.0283
3,15.43,27,485.33,33,57.1577
0,6.22,20,359.5,63.6278,59.3338
4,18.3,6,107.56,59.6907,40.2619
30,96.06,7,125.16,91.3199,26.1855
35,111.34,22,395.26,-15.4512,-25.715
11,39.42,0,-0.45,-76.9752,-17.7711
5,21.51,4,71.43,-83.5879,-40.7685
14,48.2,36,647.37,-5.79556,-1.55291
0,6.13,21,377.16,-62.1651,-57.9698
32,102.47,25,449.24,0,0
21,69.4,33,593.1,39.2104,15.0514
12,42.44,12,215.25,-12.955,-45.1793
31,99.16,22,395.17,-45.3991,-89.1006
20,66.29,25,448.99,-16.6337,-23.7554
10,36.01,3,53.05,-60.9234,-32.3935
27,87.21,6,107.09,26.163,26.1629
19,63.38,0,-0.72,70.1481,40.5
3,15.1,25,449.14,-8.34349,-25.6785
6,24.02,9,161.08,15.5639,10.8979
23,75.39,16,287.03,-67.9207,-16.9345
1,9.34,3,52.97,-11.2382,-27.8155
12,42.38,26,467.29,-10.5254,-34.427
18,60.36,13,233.52,-39.6472,-48.9602
12,42,3,53.5,4.01479,4.45887
5,21.38,5,88.99,40.0001,69.282
13,45.18,4,71.06,-35.4714,-30.8348
14,48.03,19,341.17,56.6389,69.9431
0,5.97,15,269.1,-19.9659,-15.0454
11,39.56,7,125.12,-5.14231,-6.12835
18,60.15,27,485,38.6436,34.7948
10,36.02,20,359.23,-26.1798,-47.2294
25,80.97,12,215.21,16.02,37.7407
32,102.5,3,53.25,26.9581,38.5001
20,66.15,30,539.05,-48.1041,-26.6645
5,21.32,4,71.09,44.4911,87.3186
31,98.97,26,467.21,52.5694,26.7854
30,96.13,13,233.19,-3.87848,-6.99695
36,114.02,39,701.16,-5.8707,-3.81247
22,72.42,9,161.49,61.4587,21.1619
38,120.28,30,539,-46.6917,-32.6938
23,75.44,13,233.26,-35.5377,-59.1445
34,107.98,20,359.04,-43.0337,-13.1567
25,81.28,29,521.53,20.4932,10.4418
35,111.42,28,503.01,-55.9488,-43.7119
10,36.44,4,71.29,-21.7959,-31.1278
13,45.23,27,485.35,40.3216,53.5085
22,71.98,39,701.11,59.4742,32.967
18,60.02,17,305.05,-41.4167,-88.8181
10,36.46,5,89.47,-27.2001,-22.0262
24,78.12,14,251.17,44.8119,17.2016
20,66.5,34,611.24,-13.5768,-10.2308
17,57.42,3,53.25,-42.8564,-23.7557
22,72.26,29,521.29,85.6459,45.5387
12,42.37,12,215.07,4.69472,8.82947
36,114.43,33,592.99,-64.4552,-34.2714
39,123.04,38,683.22,10.9819,24.6657
27,87.21,18,323.48,12.4037,43.2568
27,87.56,18,323.13,3.2161,10.5193
0,6.53,8,143.21,47.5108,33.2674
2,12.11,37,665.04,48.3967,7.66528
32,102.37,23,413.07,19.9659,15.0454
31,99.1,39,701.18,-73.4681,-40.724
30,96.2,23,413.17,60.2114,37.6242
0,6.2,3,53.25,-21.1503,-47.5043
31,99.19,27,485.45,35.1439,21.1165
4,18.3,36,647.56,20.1163,11.1506
34,108.03,27,485.1,4.49952,5.36231
9,33.26,30,539.01,34.1108,50.5713
31,99.39,37,665.51,20.398,8.24134
27,87.1,39,701.32,70.5126,18.8938
23,75.06,25,449.09,0.422619,0.906307
6,24.52,6,107.42,56.3816,20.5212
20,66.06,26,467.27,-62.1213,-25.0986
3,15.34,21,377.29,-45.8385,-76.2878
29,93.28,9,161.37,75.0724,62.9931
32,101.98,24,431.14,-32.8892,-11.9707
37,117.28,20,359.32,-6.88292,-9.82982
12,41.97,21,377.55,66.8831,60.2217
18,60.43,24,431.36,-1.23132,-1.57602
15,51.37,18,323.54,-48.1453,-63.8908
32,102.22,22,395.05,1.23132,1.57602
14,48.29,31,557.23,-77.1005,-52.0049
39,123.29,20,359.29,-8.91007,-4.5399
19,63.17,20,359.32,-6.47214,-4.70228
23,75.56,31,557.3,-63.3772,-8.90707
2,12.25,8,143.41,92.2525,29.9746
23,75.2,35,629.03,-30.3087,-24.5435
6,24.37,6,107.15,-18.4678,-64.4045
12,42.21,21,377.5,31.7952,50.8829
24,78.12,13,233.04,-69.4659,-71.9339
10,36.11,30,539.56,58.0326,39.1435
2,12.31,14,251.46,-56.3816,-20.5212
15,51.15,8,143.31,-49.9856,-14.3331
15,51.38,37,665.53,-44.768,-30.1964
